Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Pompeii","Bastille","Bad Blood","My playlist :)","Playlist","GBAAA1200795","3gbBpTdY8lnQwqxNCcf795"
"Demons","Imagine Dragons","Night Visions","My playlist :)","Playlist","USUM71201071","3LlAyCYU26dvFZBDUIMb7a"
"Believer","Imagine Dragons","Evolve","My playlist :)","Playlist","USUM71700626","0pqnGHJpmpxLKifKRmU6WP"
"Bones","Imagine Dragons","Mercury - Acts 1 & 2","My playlist :)","Playlist","USUM72201759","54ipXppHLA8U4yqpOFTUhr"
"Thunder","Imagine Dragons","Evolve","My playlist :)","Playlist","USUM71704167","1zB4vmk8tFRmM9UULNzbLB"
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons","Mercury - Acts 1 & 2","My playlist :)","Playlist","USUM72119916","3CIyK1V4JEJkg02E4EJnDl"
"Radioactive","Imagine Dragons","Night Visions","My playlist :)","Playlist","USUM71201074","4G8gkOterJn0Ywt6uhqbhp"
"Whatever It Takes","Imagine Dragons","Evolve","My playlist :)","Playlist","USUM71703515","6Qn5zhYkTa37e91HC1D7lb"
"Eyes Closed","Imagine Dragons","Eyes Closed","My playlist :)","Playlist","USUM72402448","4o120XeV8els1S5bu7mzBX"
"Natural","Imagine Dragons","Origins (Deluxe)","My playlist :)","Playlist","USUM71806694","2FY7b99s15jUprqC0M5NCT"
"On Top Of The World","Imagine Dragons","Night Visions (Deluxe)","My playlist :)","Playlist","USUM71201073","6KuHjfXHkfnIjdmcIvt9r0"
"End of Beginning","Djo","End of Beginning - Remixed","My playlist :)","Playlist","GBKPL2205058","6491IiPC0Xu2Tng8DgQPhq"
"Running Up That Hill (A Deal With God)","Kate Bush","Hounds Of Love","My playlist :)","Playlist","GBCNR8500002","1PtQJZVZIdWIYdARpZRDFO"
"Budapest","George Ezra","Wanted on Voyage (Expanded Edition)","My playlist :)","Playlist","GBARL1400477","2ixsaeFioXJmMgkkbd4uj1"
"Shotgun","George Ezra","Staying at Tamara's","My playlist :)","Playlist","GBARL1701372","4ofwffwvvnbSkrMSCKQDaC"
"Copperhead Road","Steve Earle","Copperhead Road","My playlist :)","Playlist","USMC18826253","0VU5k3vCrpqDgUygMjiFYj"
"Cheerleader - Felix Jaehn Remix Radio Edit","OMI","Me 4 U","My playlist :)","Playlist","USQX91500448","023OVLNzXhX0j7CxswUt6D"
"Shut Up and Dance","WALK THE MOON","TALKING IS HARD","My playlist :)","Playlist","USRC11401949","4kbj5MwxO1bq9wjT5g9HaA"
"Hey, Soul Sister","Train","Save Me, San Francisco (Golden Gate Edition)","My playlist :)","Playlist","USSM10904113","4HlFJV71xXKIGcU3kRyttv"
"Timber","Pitbull","Global Warming: Meltdown (Deluxe Version)","My playlist :)","Playlist","USRC11301695","3cHyrEgdyYRjgJKSOiOtcS"
"Counting Stars","OneRepublic","Native","My playlist :)","Playlist","USUM71301306","2tpWsVSb9UEmDRxAl1zhX1"
"Castle on the Hill","Ed Sheeran","÷ (Deluxe)","My playlist :)","Playlist","GBAHS1600462","6PCUP3dWmTjcTtXY02oFdT"
"Hold Back The River","James Bay","Chaos And The Calm","My playlist :)","Playlist","USUM71413733","7tmtOEDxPN7CWaQWBsG1DY"
"Perfect","Ed Sheeran","÷ (Deluxe)","My playlist :)","Playlist","GBAHS1700024","0tgVpDi06FyKpA1z0VMD4v"
"Shivers","Ed Sheeran","=","My playlist :)","Playlist","GBAHS2100671","50nfwKoDiSYg8zOCREWAm5"
"Wild Ones (feat. Sia)","Flo Rida","Wild Ones","My playlist :)","Playlist","USAT21104103","1NpW5kyvO4XrNJ3rnfcNy3"
"Hall of Fame (feat. will.i.am)","The Script","#3","My playlist :)","Playlist","GBARL1201055","1X1DWw2pcNZ8zSub3uhlNz"
"Stitches","Shawn Mendes","Handwritten (Deluxe)","My playlist :)","Playlist","USUM71500658","3vaorwB6JOPAdvSiHSRQiZ"
"Hey Brother","Avicii","True","My playlist :)","Playlist","CH3131340084","4lhqb6JvbHId48OUJGwymk"
"Viva La Vida","Coldplay","Viva La Vida or Death and All His Friends","My playlist :)","Playlist","GBAYE0800265","1mea3bSkSGXuIRvnydlB5b"
"What I've Done","Linkin Park","Minutes to Midnight","My playlist :)","Playlist","USWB10700721","18lR4BzEs7e3qzc0KVkTpU"
"Dog Days Are Over","Florence + The Machine","Lungs (Deluxe Edition)","My playlist :)","Playlist","GBUM70900209","1YLJVmuzeM2YSUkCCaTNUB"
"Uptown Girl","Billy Joel","An Innocent Man","My playlist :)","Playlist","USSM18300270","5zA8vzDGqPl2AzZkEYQGKh"
"What Makes You Beautiful","One Direction","Up All Night","My playlist :)","Playlist","GBHMU1100018","4cluDES4hQEUhmXj6TXkSo"
"A Bar Song (Tipsy)","Shaboozey","A Bar Song (Tipsy)","My playlist :)","Playlist","USUYG1541249","2FQrifJ1N335Ljm3TjTVVf"
"Take Me to Church","Hozier","Hozier (Expanded Edition)","My playlist :)","Playlist","USSM11307291","1CS7Sd1u5tWkstBhpssyjP"
"Daylight","Maroon 5","Overexposed (Deluxe)","My playlist :)","Playlist","USUM71204771","6TwfdLbaxTKzQi3AgsZNzx"
"Let Her Go","Passenger","All The Little Lights","My playlist :)","Playlist","GBMQN1200012","1KxwZYyzWNyZSRyErj2ojT"
"We Are The Champions - Remastered 2011","Queen","News Of The World (Deluxe Remastered Version)","My playlist :)","Playlist","GBUM71029619","7ccI9cStQbQdystvc6TvxD"
"Drag Me Down","One Direction","Made In The A.M. (Deluxe Edition)","My playlist :)","Playlist","GBHMU1500070","2K87XMYnUMqLcX3zvtAF4G"
"Drive By","Train","California 37","My playlist :)","Playlist","USSM11106876","0KAiuUOrLTIkzkpfpn9jb9"
"There's Nothing Holdin' Me Back","Shawn Mendes","Illuminate (Deluxe)","My playlist :)","Playlist","USUM71702833","7JJmb5XwzOO8jgpou264Ml"
"Payphone","Maroon 5","Overexposed (Deluxe)","My playlist :)","Playlist","USUM71203347","4P0osvTXoSYZZC2n8IFH3c"
"Geronimo","Sheppard","Bombs Away","My playlist :)","Playlist","AUIYA1400002","19cL3SOKpwnwoKkII7U3Wh"
